batch_size,workload_idx,fla_recurrent_us,fi_baseline_us,ratio
1,0,2.59,3.36,0.771
1,1,2.62,3.42,0.766
1,2,2.58,3.36,0.768
1,3,2.59,3.39,0.764
1,4,2.56,3.36,0.762
1,5,2.61,3.36,0.777
1,6,2.59,3.36,0.771
1,7,2.62,3.36,0.780
1,8,2.56,3.36,0.762
1,9,2.58,3.36,0.768
4,10,3.07,3.68,0.834
4,11,3.10,3.65,0.849
4,12,3.10,3.65,0.849
4,13,3.07,3.65,0.841
4,14,3.07,3.65,0.841
4,15,3.06,3.65,0.838
4,16,3.07,3.68,0.834
4,17,3.07,3.65,0.841
8,18,4.06,4.22,0.962
8,19,4.10,4.22,0.972
8,20,4.10,4.22,0.972
8,21,4.08,4.22,0.967
8,22,4.24,4.22,1.005
8,23,4.13,4.25,0.972
8,24,4.13,4.22,0.979
16,25,6.10,5.31,1.149
16,26,6.08,5.31,1.145
16,27,6.11,5.34,1.144
16,28,6.14,5.31,1.156
16,29,6.11,5.31,1.151
16,30,6.11,5.34,1.144
16,31,6.11,5.41,1.129
32,32,10.30,7.65,1.346
32,33,10.29,7.74,1.329
32,34,10.34,7.71,1.341
32,35,10.27,7.71,1.332
32,36,10.29,7.68,1.340
32,37,10.30,7.68,1.341
32,38,10.27,7.74,1.327
48,39,14.02,10.50,1.335
48,40,14.14,10.56,1.339
48,41,14.02,10.50,1.335
48,42,14.14,10.50,1.347
48,43,14.21,10.46,1.359
48,44,14.11,10.46,1.349
48,45,14.08,10.46,1.346
64,46,18.13,12.70,1.428
64,47,18.11,12.74,1.422
64,48,18.14,12.70,1.428
64,49,18.18,12.74,1.427
64,50,18.11,12.74,1.422
64,51,18.18,12.77,1.424
64,52,18.18,12.74,1.427
64,53,18.37,12.83,1.432
